created_at,twitter_id,text,user_id,user_name,screen_name,followers_count,friends_count,profile_image,retweet_count,favorite_count,lang,place_type,place_name,place_full_name,country,disaster_type,date,region,latitude,longitude,country_code
2021-08-18 23:59:59,1.4281446787931464e+18,"USGS reports a M1.75 earthquake, 20km ESE of Ocotillo Wells, CA on 8/18/21 @ 23:57:45 UTC https://t.co/Famv1G3r8D #earthquake",1414684496,Every Earthquake,everyEarthquake,25500,1.0,http://pbs.twimg.com/profile_images/1271322067451801603/jh5Aked-_normal.jpg,0,0.0,en,admin,California,"California, USA",United States,earthquake,2021-08-18,Americas,33.0673332,-115.93066409999999,US
2021-08-18 23:59:04,1.4281444473768305e+18,@jaybrannan Hurricane Grace Under Fire,20153146,Justin,virtualjustin,979,1087.0,http://pbs.twimg.com/profile_images/1294017381061341189/9D1AOx4Q_normal.jpg,0,0.0,en,city,Washington,"Washington, DC",United States,fire,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:58:42,1.4281443552531456e+18,@Agrant3595Grant Fire 🔥 Th # Rocket 🚀 🆙,809136915815526401,John Saunders,JohnS222325,3106,3882.0,http://pbs.twimg.com/profile_images/811596267759554560/7zl6dg_u_normal.jpg,1,3.0,en,city,Georgetown,"Georgetown, KY",United States,fire,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:58:17,1.428144251578192e+18,@loverofcatsesq Fire away…,36596213,Michael Graham,mcg1971,252,1219.0,http://pbs.twimg.com/profile_images/888241752196472832/pst47DWr_normal.jpg,0,1.0,en,city,Temecula,"Temecula, CA",United States,fire,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:58:05,1.4281441987510313e+18,Drinking a Tropical Storm IPA by @hookerbeer @ Crafty's Tap Room — https://t.co/E0ctkeoDfe,1399571706012966914,EmbraceTheVoid_,RayeAlbate,126,843.0,http://pbs.twimg.com/profile_images/1427403497922772994/-JBbOrfb_normal.jpg,0,0.0,en,city,Philadelphia,"Philadelphia, PA",United States,storm,2021-08-18,Americas,40.06812670000001,-75.0063477,US
2021-08-18 23:57:49,1.4281441323132027e+18,"Spotr 1 miles N of MANCHESTER, PA @ 23:57 UTC Flood&gt;-Extensive flash flooding. cars sinking several locations.",94001295,Spotter Network Inc,spotternetwork,13558,8.0,http://pbs.twimg.com/profile_images/555245150/download_normal.jpeg,2,4.0,en,city,Manchester,"Manchester, PA",United States,flood,2021-08-18,Americas,40.0714323,-76.7230321,US
2021-08-18 23:57:38,1.4281440882898493e+18,"I am in Monrovia. This storm will head into Madison County, folks pay attention. Don’t get caught off guard. https://t.co/ummVTuYxX9",30757332,Matt Kroschel,Matt_Kroschel,8310,2277.0,http://pbs.twimg.com/profile_images/1408175338052587524/_6_jVj9T_normal.jpg,1,4.0,en,admin,Alabama,"Alabama, USA",United States,storm,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:57:38,1.4281432250726646e+18,I just left from the gym. We are under a tornado warning at this moment. This storm looks very dangerous. https://t.co/9Y7153NKpQ,352752258,jarvis: that damn extrovert ⬆️🌈🐝,artsyboy1985,4682,2398.0,http://pbs.twimg.com/profile_images/1402818321758752768/FgknR3an_normal.jpg,0,30.0,en,city,Huntsville,"Huntsville, AL",United States,storm,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:57:38,1.4281432250726646e+18,I just left from the gym. We are under a tornado warning at this moment. This storm looks very dangerous. https://t.co/9Y7153NKpQ,352752258,jarvis: that damn extrovert ⬆️🌈🐝,artsyboy1985,4682,2398.0,http://pbs.twimg.com/profile_images/1402818321758752768/FgknR3an_normal.jpg,0,30.0,en,city,Huntsville,"Huntsville, AL",United States,tornado,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:57:33,1.428144063941841e+18,Same deal with these shaded counties...active tornado watch was just extended at 7:53 p.m. until 11:00 p.m. this evening. https://t.co/7kpCPOB1Ls,598774927,Bobby Martrich | EPAWA Meteorologist ☈,epawawx,27272,583.0,http://pbs.twimg.com/profile_images/1425640187384709122/5KEYfWf3_normal.jpg,3,11.0,en,admin,Pennsylvania,"Pennsylvania, USA",United States,tornado,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:57:03,1.428143941459845e+18,The tornado warning is set to expire by 7:15. Watch live coverage ⬇️   https://t.co/gTi00Np6Zw,127534416,Megan Reyna,MeganReynatv,734,720.0,http://pbs.twimg.com/profile_images/1347392487292358656/ozvdPct4_normal.jpg,0,1.0,en,admin,Alabama,"Alabama, USA",United States,tornado,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:56:29,1.4281437962195313e+18,"CONFIRMED #Tornado on the ground near Athens, Alabama - @NWSHuntsville   WATCH LIVE STREAMING @katemckennawx is on the air right now: https://t.co/uhTBrSLMJM  🚨SHARE🚨  #athens #huntsville #alabama #alwx https://t.co/1fLH6b9EBy",30757332,Matt Kroschel,Matt_Kroschel,8310,2277.0,http://pbs.twimg.com/profile_images/1408175338052587524/_6_jVj9T_normal.jpg,0,1.0,en,admin,Alabama,"Alabama, USA",United States,tornado,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:55:45,1.428143612148265e+18,Brush fire has the offramp closed. in #SantaSusana on 118 (SR-118 Ronald Reagan Fwy) WB at Tapo Cyn Rd #LAtraffic https://t.co/e2e6MWkOvI,65171105,Total Traffic LA,TotalTrafficLA,18023,605.0,http://pbs.twimg.com/profile_images/511290019365928960/Lf6blr9Y_normal.jpeg,0,0.0,en,city,Simi Valley,"Simi Valley, CA",United States,fire,2021-08-18,Americas,34.2818,-118.7126,US
2021-08-18 23:55:42,1.4281436007691592e+18,Fire af https://t.co/oNkILh3ABJ https://t.co/BNaxPHv24A,336731391,db,OHIOBoyer,802,3386.0,http://pbs.twimg.com/profile_images/1410233360723714048/qerlVoj3_normal.jpg,0,1.0,en,city,Yellow Springs,"Yellow Springs, OH",United States,fire,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:55:30,1.428143548357038e+18,@kevinabstract These stills are fire omg,583041821,OhHeyItsMJ,Manuel_Q_Jr,902,2131.0,http://pbs.twimg.com/profile_images/1425819556270940160/Fc3c13gz_normal.jpg,0,0.0,en,city,Corpus Christi,"Corpus Christi, TX",United States,fire,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:54:59,1.4281434214834545e+18,"USGS reports a M0.3 earthquake, 8km N of Anza, CA on 8/18/21 @ 23:50:36 UTC https://t.co/LSNUOj4VnR #earthquake",1414684496,Every Earthquake,everyEarthquake,25500,1.0,http://pbs.twimg.com/profile_images/1271322067451801603/jh5Aked-_normal.jpg,0,0.0,en,admin,California,"California, USA",United States,earthquake,2021-08-18,Americas,33.626,-116.68483329999998,US
2021-08-18 23:54:46,1.4281337160149524e+18,if AQI over 100 marks the official start of fire season in Oakland... we're about an hour away from that https://t.co/q5y6EBTyzd,15374401,Cara,caraesten,13518,4363.0,http://pbs.twimg.com/profile_images/1344730538909728768/ScNcVpQg_normal.jpg,2,22.0,en,city,Oakland,"Oakland, CA",United States,fire,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:54:30,1.4281432992783933e+18,Alert: FIRE ALARM @ 2500 WINDING CREEK BL Tac: G Sent: E50,71052378,Pinellas County 911,PinellasCo911,9392,12.0,http://pbs.twimg.com/profile_images/500296527261081600/6m6pZzUv_normal.png,0,1.0,en,city,Clearwater,"Clearwater, FL",United States,fire,2021-08-18,Americas,28.03342481,-82.7347069,US
2021-08-18 23:54:23,1.4281432672716186e+18,"CONFIRMED: Tornado on the ground moving into Athens via @NWSHuntsville - watch @WAAYTV right now, @CMeredithWX &amp; @katemckennawx are live right now tracking this system!",127534416,Megan Reyna,MeganReynatv,734,720.0,http://pbs.twimg.com/profile_images/1347392487292358656/ozvdPct4_normal.jpg,0,4.0,en,admin,Alabama,"Alabama, USA",United States,tornado,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:54:13,1.4281432250726646e+18,I just left from the gym. We are under a tornado warning at this moment. This storm looks very dangerous. https://t.co/9Y7153NKpQ,352752258,jarvis: that damn extrovert ⬆️🌈🐝,artsyboy1985,4682,2398.0,http://pbs.twimg.com/profile_images/1402818321758752768/FgknR3an_normal.jpg,0,30.0,en,city,Huntsville,"Huntsville, AL",United States,storm,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:54:13,1.4281432250726646e+18,I just left from the gym. We are under a tornado warning at this moment. This storm looks very dangerous. https://t.co/9Y7153NKpQ,352752258,jarvis: that damn extrovert ⬆️🌈🐝,artsyboy1985,4682,2398.0,http://pbs.twimg.com/profile_images/1402818321758752768/FgknR3an_normal.jpg,0,30.0,en,city,Huntsville,"Huntsville, AL",United States,tornado,2021-08-18,Americas,37.09024,-95.712891,US
2021-08-18 23:53:32,1.4281425649186365e+18,New tornado warning polygon for parts of Limestone County until 7:15 https://t.co/oBuPIQf81H,15220806,James Spann,spann,439783,53680.0,http://pbs.twimg.com/profile_images/1890149584/spannwantsyou_normal.jpg,12,49.0,en,city,Highland Lakes,"Highland Lakes, AL",United States,tornado,2021-08-18,Americas,37.09024,-95.712891,US
